nombre,precio,artista,lugar,nota,n_opiniones,duracion
Solo para Parejas - Los mejores monólogos de Madrid,13€,Alex Salaberri,Estación Malasaña,9.9,1204.0,"Duración
1 hora"
Ultrashow - Miguel Noguera en Madrid,"14,90€",,Teatros Luchana,9.0,154.0,"Duración
75 min"
"Karim - Sólo para adultos, en Madrid","14,90€",Karim,Teatros Luchana,9.4,1370.0,"Duración
70 minutos"
"Hij@s, el club de los malos padres","14,90€",,Teatros Luchana,9.4,878.0,"Duración
75 min."
Lago - Comedy Club,21€,Miguel Lago,Teatro Alcázar,9.2,126.0,"Edad mínima
16"
Imbécil - Alex ODogherty,16€,Alex O’Dogherty,Teatro Capitol Gran Vía,9.4,540.0,"Tipo de audiencia
Para todas las edades"
"Miss Tupper Sex, en Madrid",18€,Pilar Ordóñez,Pequeño Teatro Gran Vía de Madrid,9.2,1209.0,"Duración
90 minutos"
Los 30 son los nuevos. ¡Vete a la mierda!,12€,Jorge Santos,The Mun,9.6,154.0,"Duración
1h 30 (Incluye descanso)"
Asaari Bibang. Humor Negra.,11€,"Asaari Bibang, El Golfo Comedy Club",El Golfo Comedy Club,9.8,100.0,"Duración
70 minutos"
"David Guapo #Quenonosfrunjanlafiesta, en Madrid",20€,David Guapo,Gran teatro Caixabank Príncipe Pío,9.0,3365.0,"Duración
70 minutos (sin descanso)"
Los Monólogos de Estupenda Café Bar,"2,40€","Javi Delpe, Javi DelPe Estupenda Bar",Estupenda Bar,9.0,214.0,"Duración
70-90 minutos aprox (depende del show)"
Hardcore - Patricia Galván,13€,,Beer Station - Sala 1,9.7,125.0,"Duración
75 minutos"
Monólogos de humor - Chocita del Loro Av. Brasil,11€,"Miguel Iribar, Quique Matilla, Dani Alés, Fernando García-Torres, Raúl Navareño, Fran El Chavo, Danny Boy-Rivera , Eva y qué, Alex Salaberri, Álvaro Casares, David Cepo, Archie Bezos, La Chocita del Loro",Teatro Chocita del Loro - Avenida Brasil,9.2,1914.0,"Duración
65 minutos"
Arde Murcia,10€,Pedro Ángel Roca,Abonavida,9.8,50.0,"Duración
75 minutos"
Arde Murcia,10€,Pedro Ángel Roca,Abonavida,9.8,50.0,"Duración
75 minutos"
Es mi palabra contra la mía - Luís Piedrahita,"15,20€",Luís Piedrahita,Teatro Reina Victoria,9.4,1114.0,"Duración
90 minutos"
"Dani Alés - Tabú, un monólogo inadecuado",14€,Dani Alés,Beer Station - Sala 1,9.5,107.0,"Duración
70 minutos"
"Tinder Sorpresa - Andreu Casanova, en Madrid",16€,Andreu Casanova,Cine Palacio de la Prensa - Sala 1,9.1,1822.0,"Duración
90 minutos"
El Micro de las Aguas. Open Mic,10€,,Teatro de las Aguas,10.0,18.0,"Duración
75 minutos"
La España Vaciada,14€,"Juanjo Albiñana, Roberto Gontán, Jesús Arenas, Fran Pati, Sala de Humor Fuencarral",Cinesa Fuencarral,9.9,14.0,"Duración
90 minutos"
"Stand Up Comedy, In English",10€,Mike Damanti,Teatro de las Aguas,9.7,118.0,"Duración
75 minutos"
Álex Clavero - La Nueva Normalidad,16€,Alex Clavero,Teatro Capitol Gran Vía,9.7,170.0,"Horario(s) evento
23:00h, 21:00h"
Alex Salaberri. Qué le pasa doctor.,11€,Alex Salaberri,El Golfo Comedy Club,9.9,117.0,"Duración
70 minutos"
Diego Arjona - ¡Aquí no hay playa!,12€,Diego Arjona,Beer Station - Sala 1,9.7,69.0,"Duración
70 minutos"
"Carlos Librado, NENE",11€,Carlos Librado Nene,El Golfo Comedy Club,9.8,20.0,"Duración
De 70 a 120 minutos (según show)"
"YO NUNCA SHOW,  de Raúl Massana",10€,"Raúl, Beer Station, el Massana",Beer Station - Sala 1,9.5,147.0,"Duración
60 minutos"
Javi Durán - Fracashow en Beer Station,14€,"Javi Durán, Beer Station",Beer Station - Sala 1,9.2,136.0,"Duración
60"
Un Monólogo de Puta Madre - Juan Morales,10€,Juan Morales,Teatro de las Aguas,9.6,77.0,"Duración
60 minutos"
Predicadores de la impro,10€,"David Carrascosa, Dani Jota, Mercuria Teatro",Teatro de las Aguas,9.8,310.0,"Duración
70 minutos"
Laura del Val- De Burgos también se sale,11€,"Laura del Val, El Golfo Comedy Club",El Golfo Comedy Club,9.7,75.0,"Duración
70 minutos"
Comedia Subterránea. Open Mic,7€,,Teatro de las Aguas,9.8,24.0,"Duración
1 hora"
"Alicia Lobo - Hola, no me líes","9,60€",Alicia Lobo,Cinesa Fuencarral,10.0,20.0,"Duración
70 minutos"
Mangos y Papayas: Ivan Perlaza & Javi Bueno,10€,Javi Bueno; Iván Perlaza,El Sombrerero Comedy Club,9.8,43.0,"Duración
70 minutos"
Goloso de Micro.,10€,"Diego Daño, Eva Soriano, Fran Pati, Nacho García, El Golfo Comedy Club",El Golfo Comedy Club,9.1,125.0,"Duración
120 minutos"
Yo maté al Rey León - Dani Delacámara,10€,"Sala de Humor Fuencarral, Dani delacámara",Cinesa Fuencarral,9.5,359.0,"Duración
90 minutos"
"La Cueva Comedy  Club, Open Mic!!!",6€,La Cueva Comedy Club,Teatro de las Aguas,9.1,312.0,"Duración
60 minutos"
Open Beer - Open Mic de stand-up comedy,8€,"Dani Alés, Beer Station",Beer Station - Sala 1,9.4,133.0,"Duración
70 minutos"
Alex Gozalo. Tiempos confusos.,12€,Alex Gozalo,El Golfo Comedy Club,9.5,23.0,"Duración
70 minutos"
De Albacete al fin del mundo - Rubén Faura,8€,Rubén Faura,Estación Malasaña,9.7,275.0,"Duración
1 hora"
Manu Partida. Gafe.,12€,Manu Partida,El Golfo Comedy Club,9.8,44.0,"Duración
70 minutos"
Rita Rojo.- ¡¿A quién no le va a gustar?!,11€,"El Golfo Comedy Club, Rita Rojo",El Golfo Comedy Club,9.9,24.0,"Duración
70 minutos"
"Isabel Rey - Diva de barrio, un show de comedia",10€,Isabel Rey,Beer Station - Sala 1,9.8,28.0,"Duración
60 minutos"
Fran Pati: Moder-No,11€,Fran Pati,El Golfo Comedy Club,9.7,112.0,"Duración
70 minutos"
"Nene, ¡Que me jodan! , un monólogo muy jodido",12€,Nene,Beer Station - Sala 1,9.3,32.0,"Duración
70 minutos"
Felipe Mateos. El odio viene en frascos pequeños.,11€,Felipe Mateos,El Golfo Comedy Club,9.7,52.0,"Duración
70 minutos"
Tiquismiquis - Mikel Bermejo,15€,,Teatro Arlequín Gran Vía,9.6,199.0,"Idioma
Castellano"
Pedro Ángel Roca.- Arde Murcia,11€,"Pedro Ángel Roca, El Golfo Comedy Club",El Golfo Comedy Club,9.9,34.0,"Duración
70 minutos"
"No es fácil ser fácil, de Silvia De Frente",12€,Silvia De Frente,El Golfo Comedy Club,9.8,74.0,"Duración
70 minutos"
El Dojo Comedia,8€,"Edu Halmoguera, Varios Artistas",El Golfo Comedy Club,9.6,150.0,"Duración
70 minutos"
Monólogos en la Chocita del Loro Carabanchel,10€,"Archie Bezos, Dani Alés, Raúl Navareño, Danny Boy-Rivera , Richard Salamanca, Alex Salaberri, David Cepo, La Chocita del Loro",La chocita del Loro - Carabanchel,8.9,5208.0,"Duración
80 minutos (con descanso)"
Un mancheguico por Madrid. Marce González,10€,Merce Gonzalez,Teatro de las Aguas,9.6,72.0,"Duración
1 hora"
Ilusión. Javier Del Mar,10€,Javier Del Mar,Teatro de las Aguas,9.1,20.0,"Duración
60 minutos"
¡Es lo que hay! un show de Carlos Suárez e Iria Parada,11€,Carlos Suárez Iria Parada,Beer Station - Sala 1,9.6,29.0,"Duración
60 minutos"
