nombre,precio,artista
Jaja Party - Presentado por Javi Durán,8€,Javi Durán
Pilar de Francisco y Borja Sumozas. ¡Por fin juntos!,12€,"Borja Sumozas, Pilar de Francisco"
Borja Manjón. Poca cosa.,12€,Borja Manjón
Estoy bien. Esther Gimeno,12€,Esther Gimeno
Alberto Graupera.- No le busques sentido,12€,"Alberto Graupera, El Golfo Comedy Club"
Nico Lozano. Borderline Golfo Edition.,12€,Nico Lozano
No me puedo quejar,"7,50€",
Cincuentañer@s,10€,José Boto
Tabú,"7,50€",David La Cruz
La Estival - Álex Clavero,20€,Alex Clavero
Luis Zahera: Chungo,"19,50€",Luis Zahera
Zapatiburger: 4 cómicos + 1 batería + 1 cantante,5€,Capitán Fornié
Menuda Pájara - Carmen Alcayde,8€,Carmen Alcayde
Nacho punto G en Platea,10€,Nacho punto G
Situaciones incómodas - Marcos Arizmendi,10€,Marcos Arizmendi
Sin Pelos En La Lengua,5€,Ismael Galán
Rodrigo Marques - Estamos vivos,"9,75€",Rodrigo Marques
Summertime,"10,50€",
Aquí no hay playa Summer Edition,12€,Diego Arjona
Funny hour open mic,3€,MARIO VELASCO Y ALBERTO GRAUPERA
Traficante de Risas - Boira Sigue Vivo!!!,8€,Albert Boira
El Humor De Los 90s Hoy,10€,El Largo
Sujétame El Micrófono,8€,"Vicente Pulki, Davis Corpa"
Heterobásicos,10€,Toni Moret - Pablo Alcaraz
"Kalderas, Sin Filtro",10€,Kalderas
"Comedia Canalla, El Incorrecto",8€,Dani Acosta
Pero Que Me Estas Contando!? - Monologo y Comedia,10€,Nicolás Biffi
Comedia Imprevisible,8€,Ismael Galletero
Juanete Deltó: ¡de esta no salimos!,5€,"Javi DelPe Estupenda Bar, Chic Comedy"
Open Mic - Monólogos,6€,"Andrés Madruga, Aitor Vega"
Mangos y Papayas,7€,"Javi DelPe Estupenda Bar, Chic Comedy"
Monólogos en San Sebastián de los Reyes,"6,50€",El Remate Producciones
Histéricas,6€,Javi DelPe Estupenda Bar
Ganso: el show de Edu J.,10€,Edu J.
Hay que Tener Huevos / Alcobendas Sanse- La Nota Rock,4€,Dan Comedia
Solo Amalio en Platea,10€,Marcos Arizmendi
"Manu ""El Gamba"" en Platea",10€,Manu el Gamba
Mario Mechón en Platea,10€,Mario Mechón
Carolina Noriega en Platea,10€,Platea Café Teatro
Ismael Galán en Platea,10€,Platea
Miguel Sincero en Platea,10€,Platea Café Teatro
Jorge Gallardo en Platea,10€,Jorge Gallardo
Juank en Platea,10€,Juank
La vida me importa un huevo,10€,Arturo Cejas
El Capi es mi cuñao,10€,Mario Ángel
Xibalba Open Mic,"3,99€",
La Vida me Importa un Huevo - Un monólogo de Arturo Cejas,6€,Arturo Cejas
¡Se vienen Cositas!,10€,Cachiporri
La noche de la risa,"15,50€",
Tonta,10€,Cristina Gómez
Presentación del Open Mic con Iñaki Urrutia,3€,Iñaki Urrutia
Hay que Tener Huevos / Solo de Croquetas,7€,Dan Comedia
Micro Abierto Monólogos Madrid,7€,
Diego Daño. Viviendo para Instagram,11€,"Diego Daño, El Golfo Comedy Club"
Más vale solo que ciento volando. Reloaded,18€,Edu Soto
"Raúl Massana ""Vendo Humo"" Stand up show",12€,Raúl Massana
"TONTA, un monólogo de Cristina Gómez",10€,"Cristina Gómez, Dianela Padrón, Beer Station"
